id	altmetric_id	authors	journal	type	doi	altmetric_score	date	pubyear	pubmonth	males	females	unknown	propmales	propfemales	propunknown	numauthors	firstgender	firstgenderprob	lastgender	lastgenderprob	authors_format	cleaned_authors
44	1272054	['David\xa0W. Van\xa0de\xa0Vosse', 'Yakun Wan', 'Diego\xa0L. Lapetina', 'Wei-Ming Chen', 'Jung-Hsien Chiang', 'John\xa0D. Aitchison', 'Richard\xa0W. Wozniak']	Cell	article	10.1016/j.cell.2013.01.049	2.75	2013-01-01T00:00:00+00:00	2013	1	7	0	0	1	0	0	7	male	0.99	male	0.99	firstlast	David VanDeVosse, Yakun Wan, Diego Lapetina, Wei-Ming Chen, Jung-Hsien Chiang, John Aitchison, Richard Wozniak
2798	587661	['David\xa0J. Anderson']	Cell	article	10.1016/j.cell.2011.12.022	14.7	2012-01-01T00:00:00+00:00	2012	1	1	0	0	1	0	0	1	male	0.99	male	0.99	firstlast	David Anderson
6290	431796	['JosephÂ\xa0E. LeDoux', 'Joshua P. Johansen', 'Christopher K. Cain', 'Linnaea E. Ostroff', 'Joseph E. LeDoux', 'Joshua\xa0P. Johansen', 'Christopher\xa0K. Cain', 'Linnaea\xa0E. Ostroff', 'Joseph\xa0E. LeDoux']	Cell	article	10.1016/j.cell.2011.10.009	19.5	2011-01-01T00:00:00+00:00	2011	1	4	1	0	0.8	0.2	0	5	male	0.81	male	0.99	firstlast	JosephÂ LeDoux, Joshua Johansen, Christopher Cain, Linnaea Ostroff, Joseph LeDoux
10828	4285532	['Richardson, Douglas S', 'Lichtman, Jeff W', 'Douglas\xa0S. Richardson', 'Jeff\xa0W. Lichtman', 'Douglas S. Richardson', 'Jeff W. Lichtman']	Cell	article	10.1016/j.cell.2015.06.067	101.276	2015-07-18T22:00:23+00:00	2015	7	2	0	0	1	0	0	2	male	0.95	male	0.99	firstlast	Richardson Douglas, Lichtman Jeff
12304	4346716	['Teng, Grace', 'Maman, Yaakov', 'Resch, Wolfgang', 'Kim, Min', 'Yamane, Arito', 'Qian, Jason', 'Kieffer-Kwon, Kyong-Rim', 'Mandal, Malay', 'Ji, Yanhong', 'Meffre, Eric', 'Clark, Marcus R', 'Cowell, Lindsay G', 'Casellas, Rafael', 'Schatz, David G', 'Grace Teng', 'Yaakov Maman', 'Wolfgang Resch', 'Min Kim', 'Arito Yamane', 'Jason Qian', 'Kyong-Rim Kieffer-Kwon', 'Malay Mandal', 'Yanhong Ji', 'Eric Meffre', 'Marcus\xa0R. Clark', 'Lindsay\xa0G. Cowell', 'Rafael Casellas', 'David\xa0G. Schatz']	Cell	article	10.1016/j.cell.2015.07.009	6.75	2015-08-04T14:31:47+00:00	2015	8	10	4	0	0.714285714285714	0.285714285714286	0	14	female	0.97	male	0.99	lastfirst	Teng Grace, Maman Yaakov, Resch Wolfgang, Kim Min, Yamane Arito, Qian Jason, Kieffer-Kwon Kyong-Rim, Mandal Malay, Ji Yanhong, Meffre Eric, Clark Marcus, Cowell Lindsay, Casellas Rafael, Schatz David
21343	6159942	['Neil Savage']	Cell	article	10.1016/j.cell.2016.02.051	5.95	2016-03-10T00:00:00+00:00	2016	3	1	0	0	1	0	0	1	male	0.99	male	0.99	firstlast	Neil Savage
22293	1240777	['Karla Kirkegaard', 'Gomez JA', 'Wapinski OL', 'Yang YW', 'Bureau JF', 'Gopinath S', 'Monack DM', 'Chang HY', 'Brahic M', 'Kirkegaard K', 'J.\xa0Antonio Gomez', 'Orly\xa0L. Wapinski', 'Yul\xa0W. Yang', 'Jean-François Bureau', 'Smita Gopinath', 'Denise\xa0M. Monack', 'Howard\xa0Y. Chang', 'Michel Brahic']	Cell	article	10.1016/j.cell.2013.01.015	9.1	2013-01-01T00:00:00+00:00	2013	1	6	2	1	0.666666666666667	0.222222222222222	0.111111111111111	9	female	0.98	male	0.6	firstlast	Karla Kirkegaard, Gomez J, Wapinski Orly, Yang Yul, Bureau Jean-François, Gopinath Smita, Monack Denise, Chang Howard, Brahic Michel
37011	798962	['David\xa0V. Schaffer']	Cell	article	10.1016/j.cell.2011.03.008	0.25	2011-01-01T00:00:00+00:00	2011	1	1	0	0	1	0	0	1	male	0.99	male	0.99	firstlast	David Schaffer
37892	3614447	['Rita Guerreiro', 'José Brás', 'John Hardy']	Cell	article	10.1016/j.cell.2015.01.052	3.5	2015-02-12T00:00:00+00:00	2015	2	2	1	0	0.666666666666667	0.333333333333333	0	3	female	0.98	male	0.99	firstlast	Rita Guerreiro, José Brás, John Hardy
44108	1537043	['Feng Wang', 'Damian\xa0C. Ekiert', 'Insha Ahmad', 'Wenli Yu', 'Yong Zhang', 'Omar Bazirgan', 'Ali Torkamani', 'Terje Raudsepp', 'Waithaka Mwangi', 'Michael\xa0F. Criscitiello', 'Ian\xa0A. Wilson', 'Peter\xa0G. Schultz', 'Vaughn\xa0V. Smider', 'Damian C. Ekiert', 'Michael F. Criscitiello', 'Ian A. Wilson', 'Peter G. Schultz', 'Vaughn V. Smider']	Cell	article	10.1016/j.cell.2013.04.049	138.058	2013-01-01T00:00:00+00:00	2013	1	9	0	4	0.692307692307692	0	0.307692307692308	13	male	0.79	male	1	lastfirst	Feng Wang, Insha Ahmad, Wenli Yu, Yong Zhang, Omar Bazirgan, Ali Torkamani, Terje Raudsepp, Waithaka Mwangi, Damian Ekiert, Michael Criscitiello, Ian Wilson, Peter Schultz, Vaughn Smider
47409	20912669	['Qian, Hongwu', 'Zhao, Xin', 'Cao, Pingping', 'Lei, Jianlin', 'Yan, Nieng', 'Gong, Xin', 'Hongwu Qian', 'Xin Zhao', 'Pingping Cao', 'Jianlin Lei', 'Nieng Yan', 'Xin Gong']	Cell	article	10.1016/j.cell.2017.05.020	21.1	2017-06-01T00:00:00+00:00	2017	6	3	3	0	0.5	0.5	0	6	female	0.7	male	0.8	firstlast	Qian Hongwu, Zhao Xin, Cao Pingping, Lei Jianlin, Yan Nieng, Gong Xin
