id	altmetric_id	authors	journal	type	doi	altmetric_score	date	pubyear	pubmonth	males	females	unknown	propmales	propfemales	propunknown	numauthors	firstgender	firstgenderprob	lastgender	lastgenderprob	authors_format	cleaned_authors
19	980029	['Kenneth S. Polonsky', 'Polonsky, Kenneth S.']	New England Journal of Medicine	article	10.1056/nejmra1110560	311.2	2012-10-04T00:00:00+00:00	2012	10	1	0	0	1	0	0	1	male	0.98	male	0.98	firstlast	Kenneth Polonsky
3804	4443323	['Haeberle, Helene', 'Körner, Andreas', 'Rosenberger, Peter']	New England Journal of Medicine	article	10.1056/nejmc1506819#sa4	0.25	2015-08-27T22:00:29+00:00	2015	8	2	1	0	0.666666666666667	0.333333333333333	0	3	female	0.98	male	0.99	lastfirst	Haeberle Helene, Körner Andreas, Rosenberger Peter
4094	269982	['Gail R. Wilensky', 'Wilensky GR', 'Wilensky, Gail R.']	New England Journal of Medicine	article	10.1056/nejmp1110185	54.598	2011-09-14T00:00:00+00:00	2011	9	0	1	0	0	1	0	1	female	0.94	female	0.94	firstlast	Gail Wilensky
5386	23377720	['Saillard, Colombe', 'Darmon, Michael', 'Mokart, Djamel']	New England Journal of Medicine	article	10.1056/nejmc1707248	9.75	2017-08-03T00:00:00+00:00	2017	8	2	1	0	0.666666666666667	0.333333333333333	0	3	female	0.95	male	0.98	lastfirst	Saillard Colombe, Darmon Michael, Mokart Djamel
6389	3976955	['Stock, Stephanie']	New England Journal of Medicine	article	10.1056/nejmp1413625	9.5	2015-05-08T22:04:16+00:00	2015	5	0	1	0	0	1	0	1	female	0.98	female	0.98	lastfirst	Stock Stephanie
14903	1054696	['Kevin Outterson']	New England Journal of Medicine	article	10.1056/nejmp1212667	88.492	2012-11-07T00:00:00+00:00	2012	11	1	0	0	1	0	0	1	male	0.99	male	0.99	firstlast	Kevin Outterson
14916	660120	['Cutler DM', 'Ghosh K', 'Cutler, David M.', 'Ghosh, Kaushik', 'David M. Cutler', 'Kaushik Ghosh']	New England Journal of Medicine	article	10.1056/nejmp1113361	82.248	2012-01-01T00:00:00+00:00	2012	1	2	0	0	1	0	0	2	male	0.99	male	0.99	lastfirst	Cutler David, Ghosh Kaushik
23234	4632237	['Dirk Bassler', 'Richard Plavka', 'Eric S. Shinwell', 'Mikko Hallman', 'Pierre-Henri Jarreau', 'Virgilio Carnielli', 'Johannes N. Van den Anker', 'Christoph Meisner', 'Corinna Engel', 'Matthias Schwab', 'Henry L. Halliday', 'Christian F. Poets', 'Bassler, Dirk', 'Plavka, Richard', 'Shinwell, Eric S', 'Hallman, Mikko', 'Jarreau, Pierre-Henri', 'Carnielli, Virgilio', 'Van den Anker, Johannes N', 'Meisner, Christoph', 'Engel, Corinna', 'Schwab, Matthias', 'Halliday, Henry L', 'Poets, Christian F', ', ', 'Shinwell, Eric S.', 'Van den Anker, Johannes N.', 'Halliday, Henry L.', 'Poets, Christian F.']	New England Journal of Medicine	article	10.1056/nejmoa1501917	124.092	2015-10-15T00:00:00+00:00	2015	10	11	1	0	0.916666666666667	0.0833333333333333	0	12	male	0.99	male	0.99	firstlast	Dirk Bassler, Richard Plavka, Mikko Hallman, Pierre-Henri Jarreau, Virgilio Carnielli, Christoph Meisner, Corinna Engel, Matthias Schwab, Eric Shinwell, Johannes Van, Henry Halliday, Christian Poets
23302	1617638	['Sai-Juan Chen', 'Zhu Chen']	New England Journal of Medicine	article	10.1056/nejme1304762	1.75	2013-07-11T00:00:00+00:00	2013	7	2	0	0	1	0	0	2	male	0.98	male	0.62	firstlast	Sai-Juan Chen, Zhu Chen
25098	18024625	['Koratala, Abhilash', 'Bhatti, Vikrampal', 'Abhilash Koratala', 'Vikrampal Bhatti']	New England Journal of Medicine	article	10.1056/nejmicm1609176	204.458	2017-03-23T00:00:00+00:00	2017	3	2	0	0	1	0	0	2	male	1	male	0.98	firstlast	Koratala Abhilash, Bhatti Vikrampal
