id	altmetric_id	authors	journal	type	doi	altmetric_score	date	pubyear	pubmonth	males	females	unknown	propmales	propfemales	propunknown	numauthors	firstgender	firstgenderprob	lastgender	lastgenderprob	authors_format	cleaned_authors
860	2100172	['Alison Abbott']	Nature	news	10.1038/506024a	102.866	2014-02-06T00:00:00+00:00	2014	2	0	1	0	0	1	0	1	female	0.98	female	0.98	firstlast	Alison Abbott
979	10799833	['Jennifer McGowan', 'Hugh P. Possingham', 'Ken Anthony']	Nature	article	10.1038/536396a	18.35	2016-08-24T00:00:00+00:00	2016	8	2	1	0	0.666666666666667	0.333333333333333	0	3	female	0.98	male	0.98	firstlast	Jennifer McGowan, Hugh Possingham, Ken Anthony
1357	535432	['Sandberg MK', 'Al-Doujaily H', 'Sharps B', 'Clarke AR', 'Collinge J', 'Malin K. Sandberg', 'Huda Al-Doujaily', 'Bernadette Sharps', 'Anthony R. Clarke', 'John Collinge']	Nature	article	10.1038/nature09768	6	2011-02-27T00:00:00+00:00	2011	2	2	3	0	0.4	0.6	0	5	female	0.95	male	0.99	lastfirst	Sandberg Malin, Al-Doujaily Huda, Sharps Bernadette, Clarke Anthony, Collinge John
2103	32074556	['B. E. Tetarenko', 'J.-P. Lasota', 'C. O. Heinke', 'G. Dubus', 'G. R. Sivakoff', 'J. -P. Lasota']	Nature	article	10.1038/nature25159	115.712	2018-01-22T00:00:00+00:00	2018	1	0	0	5	0	0	1	5					nofirstname	B Tetarenko, C Heinke, G Dubus, G Sivakoff, J Lasota
3834	4970740	['Zach Zorich']	Nature	news	10.1038/nature.2016.19131	176.778	2016-01-08T00:00:00+00:00	2016	1	1	0	0	1	0	0	1	male	0.99	male	0.99	firstlast	Zach Zorich
5733	1982226	['Dan Erlanson']	Nature	article	10.1038/471672a	1	2011-03-30T00:00:00+00:00	2011	3	1	0	0	1	0	0	1	male	0.95	male	0.95	firstlast	Dan Erlanson
5763	2284512	['Preston Grassmann']	Nature	article	10.1038/508426a	0.5	2014-04-16T00:00:00+00:00	2014	4	1	0	0	1	0	0	1	male	0.98	male	0.98	firstlast	Preston Grassmann
8522	4545206	['Hong Yang', 'Julian R. Thompson', 'Roger J. Flower']	Nature	article	10.1038/525455e	2.5	2015-09-23T00:00:00+00:00	2015	9	3	0	0	1	0	0	3	male	0.65	male	0.98	firstlast	Hong Yang, Julian Thompson, Roger Flower
9111	1223238	['Matthew R. Warr', 'Mikhail Binnewies', 'Johanna Flach', 'Damien Reynaud', 'Trit Garg', 'Ritu Malhotra', 'Jayanta Debnath', 'Emmanuelle PasseguÃ©', 'Warr MR', 'Binnewies M', 'Flach J', 'Reynaud D', 'Garg T', 'Malhotra R', 'Debnath J', 'Passegué E', 'Emmanuelle Passegué']	Nature	article	10.1038/nature11895	12.05	2013-02-06T00:00:00+00:00	2013	2	5	3	1	0.555555555555556	0.333333333333333	0.111111111111111	9	female	0.97			firstlast	Emmanuelle PasseguÃ, Matthew Warr, Mikhail Binnewies, Johanna Flach, Damien Reynaud, Trit Garg, Ritu Malhotra, Jayanta Debnath, Passegué Emmanuelle
10216	2224186	['Norihiro Nakamura', 'Jennie R. Lill', 'Qui Phung', 'Zhaoshi Jiang', 'Corey Bakalarski', 'Ann de Mazière', 'Judith Klumperman', 'Megan Schlatter', 'Lélia Delamarre', 'Ira Mellman']	Nature	article	10.1038/nature13133	10.75	2014-03-30T00:00:00+00:00	2014	3	4	5	1	0.4	0.5	0.1	10	male	1	female	0.92	firstlast	Norihiro Nakamura, Jennie Lill, Qui Phung, Zhaoshi Jiang, Corey Bakalarski, Ann deMazière, Judith Klumperman, Megan Schlatter, Lélia Delamarre, Ira Mellman
