id	altmetric_id	authors	journal	type	altmetric_score	date	males	females	unknown	percmales	percfemales	percunknown	firstgender	lastgender
44	1272054	['David\xa0W. Van\xa0de\xa0Vosse', 'Yakun Wan', 'Diego\xa0L. Lapetina', 'Wei-Ming Chen', 'Jung-Hsien Chiang', 'John\xa0D. Aitchison', 'Richard\xa0W. Wozniak']	Cell	article	2.75	2013-01-01T00:00:00+00:00	4	0	3	0.571428571428571	0	0.428571428571429	male	male
1640	35542341	['Mark A. Krasnow', 'Nicholas R. Cozzarelli']	Cell	article	9	1983-04-01T00:00:00+00:00	2	0	0	1	0	0	male	male
2265	3122178	['Michael-Christopher Keogh', 'Siavash K. Kurdistani', 'Stephanie A. Morris', 'Seong Hoon Ahn', 'Vladimir Podolny', 'Sean R. Collins', 'Maya Schuldiner', 'Kayu Chin', 'Thanuja Punna', 'Natalie J. Thompson', 'Charles Boone', 'Andrew Emili', 'Jonathan S. Weissman', 'Timothy R. Hughes', 'Brian D. Strahl', 'Michael Grunstein', 'Jack F. Greenblatt', 'Stephen Buratowski', 'Nevan J. Krogan']	Cell	article	3	2005-11-01T00:00:00+00:00	11	3	5	0.578947368421053	0.157894736842105	0.263157894736842	male	
2798	587661	['David\xa0J. Anderson']	Cell	article	14.7	2012-01-01T00:00:00+00:00	2	0	-1	2	0	-1	male	male
2966	3516716	['D R Littman', 'Y Thomas', 'P J Maddon', 'L Chess', 'R Axel']	Cell	article	0	1985-02-01T00:00:00+00:00	2	0	3	0.4	0	0.6		male
6290	431796	['JosephÂ\xa0E. LeDoux', 'Joshua P. Johansen', 'Christopher K. Cain', 'Linnaea E. Ostroff', 'Joseph E. LeDoux', 'Joshua\xa0P. Johansen', 'Christopher\xa0K. Cain', 'Linnaea\xa0E. Ostroff', 'Joseph\xa0E. LeDoux']	Cell	article	19.5	2011-01-01T00:00:00+00:00	3	0	6	0.333333333333333	0	0.666666666666667		male
8152	132777	['Dongning Pan', 'Masaki Fujimoto', 'Andrea Lopes', 'Yong-Xu Wang']	Cell	article	1	2009-04-03T00:00:00+00:00	0	1	3	0	0.25	0.75		
8983	42186554	['Ravi Dhar', 'Robert M. Chanock', 'Ching-Juh Lai']	Cell	article	3	1980-09-01T00:00:00+00:00	2	0	1	0.666666666666667	0	0.333333333333333	male	
9436	31550779	['Semenza, J C', 'Hardwick, K G', 'Dean, N', 'Pelham, H R']	Cell	article	1	1990-06-29T00:00:00+00:00	1	0	3	0.25	0	0.75		
9577	209134	['Pavri, Rushad', 'Zhu, Bing', 'Li, Guohong', 'Trojer, Patrick', 'Mandal, Subhrangsu', 'Shilatifard, Ali', 'Reinberg, Danny', 'Rushad Pavri', 'Bing Zhu', 'Guohong Li', 'Patrick Trojer', 'Subhrangsu Mandal', 'Ali Shilatifard', 'Danny Reinberg']	Cell	article	7	2006-05-19T00:00:00+00:00	3	0	11	0.214285714285714	0	0.785714285714286		male
10828	4285532	['Richardson, Douglas S', 'Lichtman, Jeff W', 'Douglas\xa0S. Richardson', 'Jeff\xa0W. Lichtman', 'Douglas S. Richardson', 'Jeff W. Lichtman']	Cell	article	101.276	2015-07-18T22:00:23+00:00	2	0	4	0.333333333333333	0	0.666666666666667	male	male
11238	414277	['Mégraud F']	Cell	article	23.104	2005-12-16T00:00:00+00:00	0	0	1	0	0	1		
11276	556697	['Jonathan R. Terman', 'Tianyi Mao', 'R.Jeroen Pasterkamp', 'Hung-Hsiang Yu', 'Alex L. Kolodkin', 'Terman, Jonathan R', 'Mao, Tianyi', 'Pasterkamp, R Jeroen', 'Yu, Hung-Hsiang', 'Kolodkin, Alex L']	Cell	article	7.5	2002-01-01T00:00:00+00:00	3	0	7	0.3	0	0.7	male	male
12304	4346716	['Teng, Grace', 'Maman, Yaakov', 'Resch, Wolfgang', 'Kim, Min', 'Yamane, Arito', 'Qian, Jason', 'Kieffer-Kwon, Kyong-Rim', 'Mandal, Malay', 'Ji, Yanhong', 'Meffre, Eric', 'Clark, Marcus R', 'Cowell, Lindsay G', 'Casellas, Rafael', 'Schatz, David G', 'Grace Teng', 'Yaakov Maman', 'Wolfgang Resch', 'Min Kim', 'Arito Yamane', 'Jason Qian', 'Kyong-Rim Kieffer-Kwon', 'Malay Mandal', 'Yanhong Ji', 'Eric Meffre', 'Marcus\xa0R. Clark', 'Lindsay\xa0G. Cowell', 'Rafael Casellas', 'David\xa0G. Schatz']	Cell	article	6.75	2015-08-04T14:31:47+00:00	5	4	19	0.178571428571429	0.142857142857143	0.678571428571429	female	male
13192	7791692	['Scott E. Stachel', 'Patricia C. Zambryski']	Cell	article	0	1986-08-01T00:00:00+00:00	1	1	0	0.5	0.5	0	male	female
16706	41880245	['Tim Manser', 'R.F. Gesteland']	Cell	article	3	1982-05-01T00:00:00+00:00	1	0	1	0.5	0	0.5	male	
21055	6096947	['Ramirez-Carrozzi VR', 'Braas D', 'Bhatt DM', 'Cheng CS', 'Hong C', 'Doty KR', 'Black JC', 'Hoffmann A', 'Carey M', 'Smale ST']	Cell	article	0	2009-07-09T23:00:00+00:00	1	1	8	0.1	0.1	0.8		
21343	6159942	['Neil Savage']	Cell	article	5.95	2016-03-10T00:00:00+00:00	1	0	0	1	0	0	male	male
22293	1240777	['Karla Kirkegaard', 'Gomez JA', 'Wapinski OL', 'Yang YW', 'Bureau JF', 'Gopinath S', 'Monack DM', 'Chang HY', 'Brahic M', 'Kirkegaard K', 'J.\xa0Antonio Gomez', 'Orly\xa0L. Wapinski', 'Yul\xa0W. Yang', 'Jean-François Bureau', 'Smita Gopinath', 'Denise\xa0M. Monack', 'Howard\xa0Y. Chang', 'Michel Brahic']	Cell	article	9.1	2013-01-01T00:00:00+00:00	4	2	12	0.222222222222222	0.111111111111111	0.666666666666667	female	male
23313	3536173	['K. Tertia Belt', 'Michael C. Carroll', 'Rodney R. Porter']	Cell	article	6	1984-04-01T00:00:00+00:00	2	0	1	0.666666666666667	0	0.333333333333333		male
