id	altmetric_id	authors	journal	type	doi	altmetric_score	date	pubyear	pubmonth	males	females	unknown	propmales	propfemales	propunknown	numauthors	firstgender	firstgenderprob	lastgender	lastgenderprob
19	980029	['Kenneth S. Polonsky', 'Polonsky, Kenneth S.']	New England Journal of Medicine	article	10.1056/nejmra1110560	311.2	2012-10-04T00:00:00+00:00	2012	10	1	0	0	1	0	0	1	male	0.98	male	0.98
3804	4443323	['Haeberle, Helene', 'Körner, Andreas', 'Rosenberger, Peter']	New England Journal of Medicine	article	10.1056/nejmc1506819#sa4	0.25	2015-08-27T22:00:29+00:00	2015	8	0	0	3	0	0	1	3				
4094	269982	['Gail R. Wilensky', 'Wilensky GR', 'Wilensky, Gail R.']	New England Journal of Medicine	article	10.1056/nejmp1110185	54.598	2011-09-14T00:00:00+00:00	2011	9	0	0	1	0	0	1	1				
5386	23377720	['Saillard, Colombe', 'Darmon, Michael', 'Mokart, Djamel']	New England Journal of Medicine	article	10.1056/nejmc1707248	9.75	2017-08-03T00:00:00+00:00	2017	8	0	0	3	0	0	1	3				
6389	3976955	['Stock, Stephanie']	New England Journal of Medicine	article	10.1056/nejmp1413625	9.5	2015-05-08T22:04:16+00:00	2015	5	0	0	1	0	0	1	1				
14903	1054696	['Kevin Outterson']	New England Journal of Medicine	article	10.1056/nejmp1212667	88.492	2012-11-07T00:00:00+00:00	2012	11	1	0	0	1	0	0	1	male	0.99	male	0.99
14916	660120	['Cutler DM', 'Ghosh K', 'Cutler, David M.', 'Ghosh, Kaushik', 'David M. Cutler', 'Kaushik Ghosh']	New England Journal of Medicine	article	10.1056/nejmp1113361	82.248	2012-01-01T00:00:00+00:00	2012	1	0	0	2	0	0	1	2				
23234	4632237	['Dirk Bassler', 'Richard Plavka', 'Eric S. Shinwell', 'Mikko Hallman', 'Pierre-Henri Jarreau', 'Virgilio Carnielli', 'Johannes N. Van den Anker', 'Christoph Meisner', 'Corinna Engel', 'Matthias Schwab', 'Henry L. Halliday', 'Christian F. Poets', 'Bassler, Dirk', 'Plavka, Richard', 'Shinwell, Eric S', 'Hallman, Mikko', 'Jarreau, Pierre-Henri', 'Carnielli, Virgilio', 'Van den Anker, Johannes N', 'Meisner, Christoph', 'Engel, Corinna', 'Schwab, Matthias', 'Halliday, Henry L', 'Poets, Christian F', ', ', 'Shinwell, Eric S.', 'Van den Anker, Johannes N.', 'Halliday, Henry L.', 'Poets, Christian F.']	New England Journal of Medicine	article	10.1056/nejmoa1501917	124.092	2015-10-15T00:00:00+00:00	2015	10	11	3	0	0.785714285714286	0.214285714285714	0	14	male	0.99	male	0.99
23302	1617638	['Sai-Juan Chen', 'Zhu Chen']	New England Journal of Medicine	article	10.1056/nejme1304762	1.75	2013-07-11T00:00:00+00:00	2013	7	1	0	1	0.5	0	0.5	2	male	0.98		
25098	18024625	['Koratala, Abhilash', 'Bhatti, Vikrampal', 'Abhilash Koratala', 'Vikrampal Bhatti']	New England Journal of Medicine	article	10.1056/nejmicm1609176	204.458	2017-03-23T00:00:00+00:00	2017	3	1	0	1	0.5	0	0.5	2			male	0.98
26697	825813	['Min Jiang', 'Dan Wei', 'Wei-Lin Ou', 'Kun-Xiong Li', 'Dian-Zhong Luo', 'Yun-Qian Li', 'E Chen', 'Guang-Min Nong']	New England Journal of Medicine	article	10.1056/nejmc1110981	5.5	2012-07-05T00:00:00+00:00	2012	7	1	0	7	0.125	0	0.875	8				
27589	5017949	['Darren B. Taichman', 'Joyce Backus', 'Christopher Baethge', 'Howard Bauchner', 'Peter W. de Leeuw', 'Jeffrey M. Drazen', 'John Fletcher', 'Frank A. Frizelle', 'Trish Groves', 'Abraham Haileamlak', 'Astrid James', 'Christine Laine', 'Larry Peiperl', 'Anja Pinborg', 'Peush Sahni', 'Sinan Wu', 'Taichman, Darren B', 'Backus, Joyce', 'Baethge, Christopher', 'Bauchner, Howard', 'de Leeuw, Peter W', 'Drazen, Jeffrey M', 'Fletcher, John', 'Frizelle, Frank A', 'Groves, Trish', 'Haileamlak, Abraham', 'James, Astrid', 'Laine, Christine', 'Peiperl, Larry', 'Pinborg, Anja', 'Sahni, Peush', 'Wu, Sinan', 'Taichman, Darren B.', 'de Leeuw, Peter W.', 'Drazen, Jeffrey M.', 'Frizelle, Frank A.']	New England Journal of Medicine	article	10.1056/nejme1515172	312.922	2016-01-20T00:00:00+00:00	2016	1	11	5	0	0.6875	0.3125	0	16	female	0.96	male	0.99
29868	43186175	['DiNardo, Courtney D.', 'Stein, Eytan M.', 'de Botton, Stéphane', 'Roboz, Gail J.', 'Altman, Jessica K.', 'Mims, Alice S.', 'Swords, Ronan', 'Collins, Robert H.', 'Mannis, Gabriel N.', 'Pollyea, Daniel A.', 'Donnellan, Will', 'Fathi, Amir T.', 'Pigneux, Arnaud', 'Erba, Harry P.', 'Prince, Gabrielle T.', 'Stein, Anthony S.', 'Uy, Geoffrey L.', 'Foran, James M.', 'Traer, Elie', 'Stuart, Robert K.', 'Arellano, Martha L.', 'Slack, James L.', 'Sekeres, Mikkael A.', 'Willekens, Christophe', 'Choe, Sung', 'Wang, Hongfang', 'Zhang, Vickie', 'Yen, Katharine E.', 'Kapsalis, Stephanie M.', 'Yang, Hua', 'Dai, David', 'Fan, Bin', 'Goldwasser, Meredith', 'Liu, Hua', 'Agresta, Sam', 'Wu, Bin', 'Attar, Eyal C.', 'Tallman, Martin S.', 'Stone, Richard M.', 'Kantarjian, Hagop M.', 'Courtney D. DiNardo', 'Eytan M. Stein', 'Stéphane de Botton', 'Gail J. Roboz', 'Jessica K. Altman', 'Alice S. Mims', 'Ronan Swords', 'Robert H. Collins', 'Gabriel N. Mannis', 'Daniel A. Pollyea', 'Will Donnellan', 'Amir T. Fathi', 'Arnaud Pigneux', 'Harry P. Erba', 'Gabrielle T. Prince', 'Anthony S. Stein', 'Geoffrey L. Uy', 'James M. Foran', 'Elie Traer', 'Robert K. Stuart', 'Martha L. Arellano', 'James L. Slack', 'Mikkael A. Sekeres', 'Christophe Willekens', 'Sung Choe', 'Hongfang Wang', 'Vickie Zhang', 'Katharine E. Yen', 'Stephanie M. Kapsalis', 'Hua Yang', 'David Dai', 'Bin Fan', 'Meredith Goldwasser', 'Hua Liu', 'Sam Agresta', 'Bin Wu', 'Eyal C. Attar', 'Martin S. Tallman', 'Richard M. Stone', 'Hagop M. Kantarjian']	New England Journal of Medicine	article	10.1056/nejmoa1716984	138.674	2018-06-02T00:00:00+00:00	2018	6	1	0	39	0.025	0	0.975	40				
30296	1722713	['David S. Wald', 'Joan K. Morris', 'Nicholas J. Wald', 'Alexander J. Chase', 'Richard J. Edwards', 'Liam O. Hughes', 'Colin Berry', 'Keith G. Oldroyd', 'Wald DS', 'Morris JK', 'Wald NJ', 'Chase AJ', 'Edwards RJ', 'Hughes LO', 'Berry C', 'Oldroyd KG', 'Wald, David S.', 'Morris, Joan K.', 'Wald, Nicholas J.', 'Chase, Alexander J.', 'Edwards, Richard J.', 'Hughes, Liam O.', 'Berry, Colin', 'Oldroyd, Keith G.']	New England Journal of Medicine	article	10.1056/nejmoa1305520	230.788	2013-09-01T00:00:00+00:00	2013	9	8	0	0	1	0	0	8	male	0.99	male	0.98
33168	1631905	['Peter J. Neumann']	New England Journal of Medicine	article	10.1056/nejmp1300312	50.878	2013-07-18T00:00:00+00:00	2013	7	1	0	0	1	0	0	1	male	0.99	male	0.99
