id	altmetric_id	authors	journal	type	altmetric_score	date	males	females	unknown	percmales	percfemales	percunknown
249	41289191	['Kay Keyer', 'James\u2009A. Imlay']	Proceedings of the National Academy of Sciences of the United States of America	article	6	1996-11-26T00:00:00+00:00	0	1	1	0	0.5	0.5
256	3249868	['Qing Lu', 'Fei Ye', 'Zhiyi Wei', 'Zilong Wen', 'Mingjie Zhang']	Proceedings of the National Academy of Sciences of the United States of America	article	3	None	0	1	4	0	0.2	0.8
475	8213600	['Chang GS', 'Hong Y', 'Ko KD', 'Bhardwaj G', 'Holmes EC', 'Patterson RL', 'van Rossum DB']	Proceedings of the National Academy of Sciences of the United States of America	article	0	2008-09-08T23:00:00+00:00	0	0	7	0	0	1
546	3240448	['J A Raymond', 'A L DeVries']	Proceedings of the National Academy of Sciences of the United States of America	article	6	1977-06-01T00:00:00+00:00	1	0	1	0.5	0	0.5
893	10105065	['Maxwell A. Sherman', 'Shane Lee', 'Robert Law', 'Saskia Haegens', 'Catherine A. Thorn', 'Matti S. Hämäläinen', 'Christopher I. Moore', 'Stephanie R. Jones', 'Sherman, Maxwell A', 'Lee, Shane', 'Law, Robert', 'Haegens, Saskia', 'Thorn, Catherine A', 'Hämäläinen, Matti S', 'Moore, Christopher I', 'Jones, Stephanie R']	Proceedings of the National Academy of Sciences of the United States of America	article	53.03	2016-07-28T00:00:00+00:00	3	2	19	0.125	0.0833333333333333	0.791666666666667
1462	3590758	['G Siegal', 'J J Turchi', 'T W Myers', 'R A Bambara']	Proceedings of the National Academy of Sciences of the United States of America	article	3	1992-10-15T00:00:00+00:00	0	0	4	0	0	1
1633	2326819	['Cédric Feschotte']	Proceedings of the National Academy of Sciences of the United States of America	article	1	2006-10-10T00:00:00+00:00	0	0	1	0	0	1
1798	42168544	['Nancy W. Withers', 'W. C. M. C. Kokke', 'William Fenical', 'Carl Djerassi']	Proceedings of the National Academy of Sciences of the United States of America	article	6	1982-06-01T00:00:00+00:00	2	1	1	0.5	0.25	0.25
2533	2525679	['Nabeel Bardeesy', 'Andrew J. Aguirre', 'Gerald C. Chu', 'Kuang-hung Cheng', 'Lyle V. Lopez', 'Aram F. Hezel', 'Bin Feng', 'Cameron Brennan', 'Ralph Weissleder', 'Umar Mahmood', 'Douglas Hanahan', 'Mark S. Redston', 'Lynda Chin', 'Ronald A. DePinho', 'N. Bardeesy', 'A. J. Aguirre', 'G. C. Chu', 'K.-h. Cheng', 'L. V. Lopez', 'A. F. Hezel', 'B. Feng', 'C. Brennan', 'R. Weissleder', 'U. Mahmood', 'D. Hanahan', 'M. S. Redston', 'L. Chin', 'R. A. DePinho']	Proceedings of the National Academy of Sciences of the United States of America	article	7	2006-11-04T00:00:00+00:00	7	1	20	0.25	0.0357142857142857	0.714285714285714
2655	41423830	['Steven J. Greco', 'Pranela Rameshwar']	Proceedings of the National Academy of Sciences of the United States of America	article	3	2007-09-25T00:00:00+00:00	1	0	1	0.5	0	0.5
